"x_position_input","y_position_input","yaw_input","input_time","vel_x_input","vel_y_input","vel_w_input","x_ref","y_ref","yaw_ref","con_x_input","con_z_input","con_time","x_position_output","y_position_output","yaw_output","output_time","vel_x_output","vel_y_output","vel_w_output"
0.22455,-0.049157,-0.0555805,394.491,0.527224,-0.0167522,0.0762062,0.260431,0.00848704,0.0651538,0.526053,0.159292,394.493,0.229816,-0.049348,-0.0547499,394.503,0.526364,-0.0218602,0.0872111
0.229816,-0.049348,-0.0547499,394.503,0.526364,-0.0218602,0.0872111,0.260431,0.00848704,0.0651538,0.51907,0.158666,394.51,0.240515,-0.04994,-0.0529346,394.521,0.547006,-0.0350534,0.0899957
0.240515,-0.04994,-0.0529346,394.521,0.547006,-0.0350534,0.0899957,0.260431,0.00848704,0.0651538,0.504888,0.157297,394.531,0.251755,-0.0506341,-0.0512638,394.542,0.571354,-0.0313917,0.0803736
0.251755,-0.0506341,-0.0512638,394.542,0.571354,-0.0313917,0.0803736,0.260431,0.00848704,0.0651538,0.489989,0.156038,394.55,0.263218,-0.0511603,-0.0496321,394.561,0.574146,-0.021633,0.0829797
0.263218,-0.0511603,-0.0496321,394.561,0.574146,-0.021633,0.0829797,0.260431,0.00848704,0.0651538,0.47479,0.154807,394.58,0.280232,-0.0517284,-0.0475765,394.59,0.555121,-0.0155921,0.0793082
0.280232,-0.0517284,-0.0475765,394.59,0.555121,-0.0155921,0.0793082,0.260431,0.00848704,0.0651538,0.452227,0.153258,394.594,0.28569,-0.0518613,-0.0464545,394.604,0.544086,-0.012283,0.114455
0.28569,-0.0518613,-0.0464545,394.604,0.544086,-0.012283,0.114455,0.260431,0.00848704,0.0651538,0.444989,0.152412,394.61,0.296474,-0.0520776,-0.0441058,394.62,0.534852,-0.0106835,0.118033
0.296474,-0.0520776,-0.0441058,394.62,0.534852,-0.0106835,0.118033,0.260431,0.00848704,0.0651538,0.430684,0.150641,394.63,0.307107,-0.0523251,-0.0418531,394.64,0.530294,-0.0139007,0.106981
0.307107,-0.0523251,-0.0418531,394.64,0.530294,-0.0139007,0.106981,0.260431,0.00848704,0.0651538,0.416581,0.148942,394.651,0.317634,-0.0526375,-0.0399358,394.661,0.522375,-0.0175322,0.0889997
0.317634,-0.0526375,-0.0399358,394.661,0.522375,-0.0175322,0.0889997,0.34705,0.0150839,0.0868718,0.505373,0.162276,394.669,0.327895,-0.0530203,-0.038224,394.68,0.505382,-0.0206769,0.0868218
0.327895,-0.0530203,-0.038224,394.68,0.505382,-0.0206769,0.0868218,0.34705,0.0150839,0.0868718,0.49179,0.160986,394.69,0.338039,-0.053426,-0.0364145,394.701,0.514606,-0.0186199,0.093441
0.338039,-0.053426,-0.0364145,394.701,0.514606,-0.0186199,0.093441,0.34705,0.0150839,0.0868718,0.478362,0.159621,394.714,0.348411,-0.0537151,-0.0353151,394.724,0.523004,-0.00890721,0.0390472
0.348411,-0.0537151,-0.0353151,394.724,0.523004,-0.00890721,0.0390472,0.34705,0.0150839,0.0868718,0.464628,0.158793,394.73,0.358956,-0.0538503,-0.0344311,394.74,0.532826,-0.00910619,0.0592187
0.358956,-0.0538503,-0.0344311,394.74,0.532826,-0.00910619,0.0592187,0.34705,0.0150839,0.0868718,0.45066,0.158126,394.749,0.369387,-0.0542019,-0.0320449,394.759,0.518295,-0.0204057,0.131557
0.369387,-0.0542019,-0.0320449,394.759,0.518295,-0.0204057,0.131557,0.34705,0.0150839,0.0868718,0.43685,0.156327,394.772,0.379721,-0.0545126,-0.0299645,394.782,0.516362,-0.00893045,0.0801274
0.379721,-0.0545126,-0.0299645,394.782,0.516362,-0.00893045,0.0801274,0.34705,0.0150839,0.0868718,0.423168,0.154758,394.791,0.390056,-0.0545335,-0.0284921,394.801,0.517016,0.00317767,0.0744951
0.390056,-0.0545335,-0.0284921,394.801,0.517016,0.00317767,0.0744951,0.34705,0.0150839,0.0868718,0.409474,0.153648,394.811,0.400305,-0.0545771,-0.0268692,394.824,0.507866,-0.0104176,0.0895842
0.400305,-0.0545771,-0.0268692,394.824,0.507866,-0.0104176,0.0895842,0.433506,0.0235603,0.10859,0.498175,0.167204,394.83,0.410236,-0.0549268,-0.025462,394.84,0.481321,-0.0191174,0.0320673
0.410236,-0.0549268,-0.025462,394.84,0.481321,-0.0191174,0.0320673,0.433506,0.0235603,0.10859,0.485057,0.166143,394.851,0.419851,-0.0551979,-0.0246403,394.861,0.48374,-0.00896465,0.0464749
0.419851,-0.0551979,-0.0246403,394.861,0.48374,-0.00896465,0.0464749,0.433506,0.0235603,0.10859,0.472352,0.165524,394.871,0.429778,-0.0553391,-0.0234975,394.882,0.511347,-0.00784785,0.069787
0.429778,-0.0553391,-0.0234975,394.882,0.511347,-0.00784785,0.069787,0.433506,0.0235603,0.10859,0.459228,0.164662,394.891,0.440278,-0.0555443,-0.0218752,394.901,0.534694,-0.0119587,0.0869574
0.440278,-0.0555443,-0.0218752,394.901,0.534694,-0.0119587,0.0869574,0.433506,0.0235603,0.10859,0.44535,0.163439,394.911,0.450611,-0.0557742,-0.0192715,394.921,0.511833,-0.00690548,0.115351
0.450611,-0.0557742,-0.0192715,394.921,0.511833,-0.00690548,0.115351,0.433506,0.0235603,0.10859,0.431694,0.161476,394.936,0.465858,-0.0557116,-0.0165412,394.946,0.507431,0.00927611,0.0830414
0.465858,-0.0557116,-0.0165412,394.946,0.507431,0.00927611,0.0830414,0.433506,0.0235603,0.10859,0.411528,0.159417,394.95,0.470935,-0.0556212,-0.0156629,394.96,0.506474,0.00762952,0.0815793
0.470935,-0.0556212,-0.0156629,394.96,0.506474,0.00762952,0.0815793,0.433506,0.0235603,0.10859,0.404809,0.158755,394.97,0.480654,-0.0555135,-0.0148973,394.98,0.476461,0.00520737,0.0604504
0.480654,-0.0555135,-0.0148973,394.98,0.476461,0.00520737,0.0604504,0.433506,0.0235603,0.10859,0.391951,0.158178,394.992,0.490067,-0.0554275,-0.0131298,395.002,0.467326,0.0017148,0.11224
0.490067,-0.0554275,-0.0131298,395.002,0.467326,0.0017148,0.11224,0.519757,0.0339122,0.130308,0.481277,0.171625,395.011,0.499362,-0.0555575,-0.0107736,395.021,0.463397,-0.0116846,0.118311
0.499362,-0.0555575,-0.0107736,395.021,0.463397,-0.0116846,0.118311,0.519757,0.0339122,0.130308,0.469019,0.169848,395.039,0.51367,-0.055704,-0.00747795,395.052,0.495977,0.0047077,0.0934417
0.51367,-0.055704,-0.00747795,395.052,0.495977,0.0047077,0.0934417,0.519757,0.0339122,0.130308,0.450148,0.167363,395.052,0.518699,-0.0556354,-0.00659944,395.062,0.507837,0.00810643,0.0869438
0.518699,-0.0556354,-0.00659944,395.062,0.507837,0.00810643,0.0869438,0.519757,0.0339122,0.130308,0.44351,0.166701,395.071,0.528775,-0.0555446,-0.00415408,395.083,0.494783,0.00271998,0.147867
0.528775,-0.0555446,-0.00415408,395.083,0.494783,0.00271998,0.147867,0.519757,0.0339122,0.130308,0.43021,0.164857,395.089,0.538629,-0.055397,-0.00177425,395.104,0.491073,0.0117581,0.0873187
0.538629,-0.055397,-0.00177425,395.104,0.491073,0.0117581,0.0873187,0.519757,0.0339122,0.130308,0.417202,0.163063,395.111,0.548455,-0.0550686,-0.000184929,395.121,0.492705,0.0192865,0.0791606
0.548455,-0.0550686,-0.000184929,395.121,0.492705,0.0192865,0.0791606,0.519757,0.0339122,0.130308,0.404222,0.161865,395.132,0.563276,-0.0547034,0.00246437,395.145,0.492376,0.00074832,0.0916797
0.563276,-0.0547034,0.00246437,395.145,0.492376,0.00074832,0.0916797,0.519757,0.0339122,0.130308,0.384649,0.159867,395.15,0.568172,-0.0547323,0.00338803,395.16,0.486281,-0.00545621,0.0943456
0.568172,-0.0547323,0.00338803,395.16,0.486281,-0.00545621,0.0943456,0.519757,0.0339122,0.130308,0.378191,0.159171,395.175,0.582339,-0.0548151,0.00586923,395.186,0.461472,0.00326217,0.0800978
0.582339,-0.0548151,0.00586923,395.186,0.461472,0.00326217,0.0800978,0.605763,0.0461346,0.152026,0.460739,0.17208,395.193,0.586927,-0.0547562,0.00666512,395.204,0.457001,0.00787672,0.0796062
0.586927,-0.0547562,0.00666512,395.204,0.457001,0.00787672,0.0796062,0.605763,0.0461346,0.152026,0.454699,0.17148,395.21,0.596111,-0.0545651,0.00840816,395.22,0.467092,0.00984827,0.0915317
0.596111,-0.0545651,0.00840816,395.22,0.467092,0.00984827,0.0915317,0.605763,0.0461346,0.152026,0.442604,0.170165,395.23,0.61045,-0.0542586,0.0106307,395.249,0.470104,0.0154212,0.0954323
0.61045,-0.0542586,0.0106307,395.249,0.470104,0.0154212,0.0954323,0.605763,0.0461346,0.152026,0.423721,0.16849,395.251,0.615151,-0.0540866,0.0115849,395.261,0.470124,0.0186338,0.0961306
0.615151,-0.0540866,0.0115849,395.261,0.470124,0.0186338,0.0961306,0.605763,0.0461346,0.152026,0.417526,0.16777,395.271,0.624531,-0.0536597,0.0135614,395.283,0.468668,0.0234419,0.10355
0.624531,-0.0536597,0.0135614,395.283,0.468668,0.0234419,0.10355,0.605763,0.0461346,0.152026,0.40516,0.16628,395.292,0.634015,-0.0532424,0.0157912,395.302,0.481693,0.016725,0.108839
0.634015,-0.0532424,0.0157912,395.302,0.481693,0.016725,0.108839,0.605763,0.0461346,0.152026,0.392658,0.164599,395.319,0.648575,-0.0529001,0.0185822,395.329,0.482607,0.00788132,0.0790491
0.648575,-0.0529001,0.0185822,395.329,0.482607,0.00788132,0.0790491,0.605763,0.0461346,0.152026,0.373481,0.162494,395.333,0.653359,-0.052824,0.0193757,395.343,0.475013,0.0079092,0.0792485
