"x_position_input","y_position_input","yaw_input","vel_x_input","vel_y_input","vel_w_input","con_x_input","con_z_input","con_time","state_in_time"
-0.101233799288072,-8.67E-05,0.000714701852037,-0.00989196610041,3.82E-05,0.000835478506128,0.6,0.2,10.214,10.151
-0.103118040744394,-0.000105768754752,0.000699998671689,-0.009616973419905,2.01E-06,-0.00012022052335,0.6,0.2,10.414,10.35
-0.104824214881312,-9.94E-05,0.000714316031786,-0.009329600190567,-0.000156271881535,-0.000998330425337,0.6,0.2,10.615,10.534
-0.086893975226788,0.000543302599104,0.01371263412115,0.335816002016689,0.010920714489099,0.106576585282543,0.6,0.2,10.815,10.76
0.026129363985015,0.005126101958987,0.033083066465925,0.664412777529619,0.020956249355815,0.181341725096883,0.6,0.2,11.014,10.96
0.155373345108982,0.012716666128385,0.057292978194316,0.699820755077229,0.041295144872296,0.112634651766008,0.6,0.2,11.214,11.15
0.299447939536588,0.023423730984981,0.076999218682932,0.696839677180168,0.049609039782608,0.122569128851088,0.6,0.2,11.415,11.366
0.436021657138206,0.036567799642723,0.099793699296486,0.675622452496484,0.065449401803523,0.152111546326436,0.6,0.2,11.615,11.56
0.558616810820499,0.051233167506099,0.118353943222203,0.693506458392623,0.076003840448751,0.121547036783394,0.6,0.2,11.814,11.742
0.701823942891848,0.070810946241165,0.13932489557889,0.693794142959134,0.094298621619015,0.101123206025097,0.8,0.2,12.015,11.95
0.841474902858415,0.093655527541771,0.161354570581001,0.853009676373637,0.151395044722862,0.111146455678826,0.8,0.2,12.214,12.138
1.00998641931472,0.122845641457084,0.174180215293832,0.871435803225496,0.157722882543215,0.019457155494811,0.8,0.2,12.414,12.33
1.20530058506906,0.160936001886249,0.194325309226567,0.883098496004873,0.187778239558682,0.126423517125778,0.8,0.2,12.614,12.56
1.37230252695576,0.196966412546082,0.211339620853601,0.868759008664963,0.18018657517176,0.034540933745594,0.8,0.2,12.813,12.749
1.54481717398408,0.235621510010965,0.224155091598185,0.860031253878412,0.213479329637512,0.080321999942435,0.8,0.2,13.014,12.941
1.7091215798458,0.27745462701988,0.242976794250956,0.867296178974016,0.24504333189202,0.01712520476921,0.8,0.2,13.214,13.13
1.91118598343213,0.330459887461035,0.260803384373897,0.866551426612293,0.237733825073232,0.03383711448177,0.8,0.2,13.414,13.36
2.07668055557803,0.37532924721655,0.26997437222017,0.916842505394538,0.236973660393961,0.0606189528524,0.8,0.2,13.614,13.55
2.24448645610504,0.423631253599496,0.281349653708565,0.859078074540453,0.263246634413192,0.054751788689811,0.8,0.2,13.815,13.74
2.43190179413494,0.481263484612213,0.298291736553452,0.841686720020665,0.26338653933601,0.032439417608366,0.8,0.2,14.015,13.961
2.59369332139351,0.533717739150196,0.314564623426311,0.867634915179249,0.29764141242486,0.082903390923343,0.8,0.2,14.214,14.152
2.75718765074681,0.590709312755834,0.334815081308494,0.849243326561731,0.320620107511307,0.129250236048126,0.8,0.2,14.414,14.341
2.92800307446693,0.652877495183601,0.355631444356006,0.829261466287709,0.290202350290907,0.023831963854487,0.8,0.2,14.614,14.54
3.08943300657102,0.714078001189137,0.370058304292762,0.862857709657031,0.340134288219857,0.11826401997946,0.8,0.2,14.815,14.731
3.28406354941294,0.794230036039804,0.393098265423292,0.843285596209871,0.338481114990748,0.155262055563136,0.8,0.2,15.015,14.963
3.44137005852936,0.860416125653706,0.406235487706543,0.806539967850007,0.345220609901191,0.090705247583776,0.8,0.2,15.214,15.154
3.58719622991965,0.926361915283254,0.420908116949612,0.807686065946629,0.357897935924318,0.128694223771011,0.8,0.2,15.414,15.338
3.74097673564949,0.996729341759675,0.436051358670682,0.806635603012944,0.378525530167608,0.107026443938804,0.8,0.2,15.614,15.526
3.92293979601822,1.08707032049312,0.455666233688406,0.788231599384459,0.409522593713518,0.042601163571809,0.8,0.2,15.815,15.755
4.08032351516298,1.16462151381428,0.466364355787696,0.832074575903161,0.413896197562297,0.126465904931649,0.8,0.2,16.015,15.942
4.23053950516869,1.24409306394913,0.482480955455895,0.77381445190348,0.431077282527933,0.031630500345206,0.8,0.2,16.214,16.13
4.39546862902295,1.33337376865673,0.498405775105145,0.775198974832826,0.422103251926697,0.109520360390594,0.8,0.2,16.415,16.341
4.54233984036039,1.41733382050397,0.515343831283339,0.793510800660327,0.42696297570839,0.108391476782405,0.8,0.2,16.615,16.538
4.69255768588394,1.5029975099844,0.524924054964467,0.773203044394933,0.444688094472492,0.005945360036038,0.8,0.2,16.845,16.726
4.87018401270998,1.60687829354529,0.535384465070113,0.780075927928998,0.473436101893207,0.044905679077621,0.8,0.2,17.014,16.959
5.01803411895203,1.69767492616224,0.551994153027841,0.791876308020984,0.477750020774362,0.13412394469115,0.8,0.2,17.214,17.145
5.18225756638809,1.80405280936271,0.57035993356596,0.75274339463498,0.489398038834809,0.1313661850237,0.8,0.2,17.414,17.361
5.31632300408734,1.89308915780097,0.585757652939666,0.73898393628309,0.511014425820011,0.031779672193947,0.8,0.2,17.614,17.546
5.46343237899479,1.99482205476873,0.603753729078203,0.75243906830824,0.511752373337409,0.129870402416419,0.8,0.2,17.815,17.745
5.60367012816863,2.09397526937066,0.618210551717626,0.715873693350532,0.521776531427656,0.0286614525215,1,0.2,18.017,17.924
5.78039754358865,2.2249972630049,0.637451992682144,0.872834354959741,0.657430305223537,0.162565393112124,1,0.2,18.215,18.161
5.94817086118499,2.3550360037136,0.657527204480239,0.881898588175899,0.68857296485659,0.107527948185476,1,0.2,18.414,18.35
