"%time","field.linear.x","field.linear.y","field.linear.z","field.angular.x","field.angular.y","field.angular.z","field.header.seq","field.header.stamp","field.header.frame_id","field.child_frame_id","field.pose.pose.position.x","field.pose.pose.position.y","field.pose.pose.position.z","field.pose.pose.orientation.x","field.pose.pose.orientation.y","field.pose.pose.orientation.z","field.pose.pose.orientation.w","field.pose.covariance0","field.pose.covariance1","field.pose.covariance2","field.pose.covariance3","field.pose.covariance4","field.pose.covariance5","field.pose.covariance6","field.pose.covariance7","field.pose.covariance8","field.pose.covariance9","field.pose.covariance10","field.pose.covariance11","field.pose.covariance12","field.pose.covariance13","field.pose.covariance14","field.pose.covariance15","field.pose.covariance16","field.pose.covariance17","field.pose.covariance18","field.pose.covariance19","field.pose.covariance20","field.pose.covariance21","field.pose.covariance22","field.pose.covariance23","field.pose.covariance24","field.pose.covariance25","field.pose.covariance26","field.pose.covariance27","field.pose.covariance28","field.pose.covariance29","field.pose.covariance30","field.pose.covariance31","field.pose.covariance32","field.pose.covariance33","field.pose.covariance34","field.pose.covariance35","field.twist.twist.linear.x","field.twist.twist.linear.y","field.twist.twist.linear.z","field.twist.twist.angular.x","field.twist.twist.angular.y","field.twist.twist.angular.z","field.twist.covariance0","field.twist.covariance1","field.twist.covariance2","field.twist.covariance3","field.twist.covariance4","field.twist.covariance5","field.twist.covariance6","field.twist.covariance7","field.twist.covariance8","field.twist.covariance9","field.twist.covariance10","field.twist.covariance11","field.twist.covariance12","field.twist.covariance13","field.twist.covariance14","field.twist.covariance15","field.twist.covariance16","field.twist.covariance17","field.twist.covariance18","field.twist.covariance19","field.twist.covariance20","field.twist.covariance21","field.twist.covariance22","field.twist.covariance23","field.twist.covariance24","field.twist.covariance25","field.twist.covariance26","field.twist.covariance27","field.twist.covariance28","field.twist.covariance29","field.twist.covariance30","field.twist.covariance31","field.twist.covariance32","field.twist.covariance33","field.twist.covariance34","field.twist.covariance35"
1.69863980967023E+018,-0.115403039180773,0,0,0,0,-0.627376304106266,1834,1.69863980966458E+018,"odom","odom_imu",2.2078378200531,1.63904571533203,0.078181475400925,0.024451426007158,-0.038518226114805,0.412348224294337,0.90988318807663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03621813219649,0.110162858238964,-0.014969800340964,0.024606271686533,0.075743708024165,-0.198025863196146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980968029E+018,-0.118842162399438,0,0,0,0,-0.628552940173952,1835,1.69863980967458E+018,"odom","odom_imu",2.20746469497681,1.6401778459549,0.078047946095467,0.024371943658947,-0.038039158775425,0.411257185138426,0.91039912040487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037902963710138,0.116438071772047,-0.012930387087482,0.013424946034828,0.090943473587176,-0.241456847216379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980969015E+018,-0.127482778189316,0,0,0,0,-0.628866965935152,1836,1.69863980968458E+018,"odom","odom_imu",2.20709657669067,1.64139592647553,0.077957347035408,0.024259202752142,-0.037486729737287,0.41036180371829,0.910828977483976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035113234979281,0.12724964250601,-0.00647575520079,0.015301900955418,0.107272754619261,-0.19870741250683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980970017E+018,-0.136818342114727,0,0,0,0,-0.634089401042465,1837,1.69863980969461E+018,"odom","odom_imu",2.20675730705261,1.64264798164368,0.077921494841576,0.024082189282595,-0.036916157110059,0.409249365517775,0.911357340633674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031910035364217,0.122643228512985,-0.002011740558547,0.002970200071612,0.115252207229277,-0.245326425458681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980971021E+018,-0.139546837786622,0,0,0,0,-0.644724998733475,1838,1.69863980970459E+018,"odom","odom_imu",2.20644426345825,1.64391899108887,0.077888876199722,0.023904597182496,-0.036312436387037,0.408176267791473,0.911867376107405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030175570038487,0.1321307140155,-0.005905121949036,0.005978490731249,0.121932800123831,-0.237910236741792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6986398097202E+018,-0.142157812104345,0,0,0,0,-0.649018358709198,1839,1.69863980971458E+018,"odom","odom_imu",2.20615887641907,1.64524507522583,0.077834725379944,0.023690467161111,-0.035605071768035,0.407064499769971,0.91239768393892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026203600486526,0.133382069834661,-0.006382694271073,0.007390699854622,0.143630701313158,-0.246535848404657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980973023E+018,-0.149948029592589,0,0,0,0,-0.650078409679654,1840,1.69863980972457E+018,"odom","odom_imu",2.20589089393616,1.64656674861908,0.07776989787817,0.02348870343899,-0.034862455139172,0.405935448955578,0.912934445244377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026751450136342,0.131357266723176,-0.008054542078786,0.012377265880385,0.149133193502566,-0.250636454250108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980974016E+018,-0.155541793522384,0,0,0,0,-0.662040613441398,1841,1.69863980973456E+018,"odom","odom_imu",2.19807267189026,1.60190367698669,0.111017443239689,0.022875259384454,-0.032813110368726,0.404838030318719,0.91351310417732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030107998053222,0.128302262514029,-0.017685755412933,0.01705614812583,0.151694892157172,-0.282457996004886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6986398097502E+018,-0.159835758878494,0,0,0,0,-0.664676589582631,1842,1.69863980974459E+018,"odom","odom_imu",2.19775891304016,1.60314762592316,0.110820882022381,0.022759507962534,-0.031979864962639,0.403516946602011,0.914129841346001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031614812963926,0.119776273477303,-0.022568624049378,0.034057864545884,0.157672597278212,-0.291951674813098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980976019E+018,-0.165426563237181,0,0,0,0,-0.674068796630667,1843,1.6986398097546E+018,"odom","odom_imu",2.19738435745239,1.60427737236023,0.110562466084957,0.022645144600248,-0.031266890142456,0.402037895219018,0.914808783197186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042463215970056,0.105794503089281,-0.030013036917373,0.023379621653857,0.135520620454405,-0.325706977242297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980977023E+018,-0.169259213686941,0,0,0,0,-0.674734817514838,1844,1.69863980976455E+018,"odom","odom_imu",2.19689774513245,1.60530626773834,0.110246978700161,0.022541708047817,-0.030596087193838,0.400390054185608,0.915556418445068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054701752538996,0.101058768216045,-0.03431170732377,0.020768785475793,0.127471221793746,-0.364382494086093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980978023E+018,-0.171244337037096,0,0,0,0,-0.682712909475027,1845,1.6986398097748E+018,"odom","odom_imu",2.1963062286377,1.60636568069458,0.109886467456818,0.022416870906561,-0.02991610237598,0.398707268807997,0.916316006908673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060115745472501,0.105771056244923,-0.036958049962797,0.016779077797236,0.126951975930785,-0.360822517269916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863980979029E+018,-0.180051673264224,0,0,0,0,-0.690284409050075,1846,1.69863980978461E+018,"odom","odom_imu",2.19570660591125,1.60741972923279,0.109517715871334,0.022298115570874,-0.029179208888205,0.397119445138786,0.91703190462672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06138593902421,0.109098795676485,-0.039143960944183,0.024088551848235,0.142937777746771,-0.355882394903964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
