State,Timestamp,vel_x,vel_z,x_position,y_position
128,21.906,0.0368074,0.0174453,9.92157,9.21804
129,21.983,0.033411,0.0164712,9.92181,9.22086
130,22.068,0.0306261,0.0155942,9.92202,9.22346
131,22.389,0.0232128,0.0134023,9.92268,9.23175
132,22.694,0.0171563,0.011848,9.92317,9.23752
133,22.783,0.015752,0.0114364,9.9233,9.23933
134,22.968,0.0131618,0.0103647,9.92355,9.24204
135,23.051,0.0123213,0.0100395,9.92363,9.24304
136,23.115,0.0114341,0.00965904,9.9237,9.24385
137,23.157,0.0112205,0.00961266,9.92372,9.24407
138,23.169,0.0109093,0.00952196,9.92374,9.2444
139,23.211,0.0104996,0.00940608,9.92378,9.24482
140,23.468,0.00848864,0.00872958,9.92381,9.24673
141,23.652,0.0100677,0.00859599,9.92365,9.24522
142,23.739,0.00985149,0.0086147,9.92371,9.24552
143,23.946,0.00900862,0.0087203,9.92381,9.24633
144,24.125,0.00850471,0.00877811,9.92389,9.24682
145,24.199,0.0381469,0.0111967,9.92394,9.24721
146,24.231,0.0377463,0.0111801,9.92401,9.24791
147,24.308,0.0354057,0.0113075,9.92417,9.24956
148,24.432,0.0555652,0.0127088,9.92467,9.25527
149,24.812,0.0528194,0.0130218,9.92762,9.27799
