,x_position_input,y_position_input,yaw_input,con_linear_x_input,con_z_input,input_time,x_position_output,y_position_output,yaw_output,output_time
0,-6.882157325744629,3.0513205528259277,1.6596107482910156,0.5,0.5,154.89999389648438,-6.882153221511738,3.0512750371648676,1.6595948875553994,154.91
1,-6.9044036865234375,3.184995651245117,1.7316547632217407,0.5,0.5,155.38699340820312,-6.904403683707021,3.1849955466121243,1.7316548167502623,155.387
2,-6.9044036865234375,3.184995651245117,1.7316547632217407,0.5,0.5,155.38699340820312,-6.9046317429646535,3.186145984706028,1.7323434595307667,155.431
3,-6.904631614685059,3.1861460208892822,1.7323434352874756,0.5,0.5,155.43099975585938,-6.9046317429646535,3.186145984706028,1.7323434595307667,155.431
4,-6.9054856300354,3.190080165863037,1.7384774684906006,0.5,0.5,155.47999572753906,-6.905822950551635,3.191556383105881,1.7406253276359267,155.49
5,-6.90582275390625,3.191556453704834,1.7406253814697266,0.5,0.5,155.49000549316406,-6.905822950551635,3.191556383105881,1.7406253276359267,155.49
6,-6.90813684463501,3.1993963718414307,1.750222086906433,0.5,0.5,155.52999877929688,-6.90813661859795,3.1993963083965533,1.7502220934290404,155.53
7,-6.911348819732666,3.21171236038208,1.7615158557891846,0.5,0.5,155.5709991455078,-6.911348831671796,3.211712401471257,1.761515823508542,155.573
8,-6.911348819732666,3.21171236038208,1.7615158557891846,0.5,0.5,155.5709991455078,-6.911348831671796,3.211712401471257,1.761515823508542,155.573
9,-6.91544771194458,3.2292559146881104,1.7733241319656372,0.5,0.5,155.61500549316406,-6.915447662389655,3.229255917491634,1.7733241197796108,155.615
10,-6.922438621520996,3.253655433654785,1.7890312671661377,0.5,0.5,155.66099548339844,-6.922438855488406,3.2536553559029646,1.789031308835413,155.662
11,-6.922438621520996,3.253655433654785,1.7890312671661377,0.5,0.5,155.66099548339844,-6.922438855488406,3.2536553559029646,1.789031308835413,155.662
12,-6.930885314941406,3.2855584621429443,1.8103851079940796,0.5,0.5,155.72000122070312,-6.930885529789212,3.2855584777577835,1.8103851618524318,155.72
13,-6.930885314941406,3.2855584621429443,1.8103851079940796,0.5,0.5,155.72000122070312,-6.930885529789212,3.2855584777577835,1.8103851618524318,155.72
14,-6.9359259605407715,3.30155873298645,1.82121741771698,0.5,0.5,155.75900268554688,-6.935926068213818,3.3015587518279816,1.8212173639886453,155.759
15,-6.943591594696045,3.329517126083374,1.8393563032150269,0.5,0.5,155.80499267578125,-6.943591644497671,3.3295170749461045,1.839356279634908,155.805
16,-6.943591594696045,3.329517126083374,1.8393563032150269,0.5,0.5,155.80499267578125,-6.943591644497671,3.3295170749461045,1.839356279634908,155.805
17,-6.952373027801514,3.3566946983337402,1.8552603721618652,0.5,0.5,155.8509979248047,-6.95237280291614,3.3566947477418707,1.8552603962967926,155.851
18,-6.959521293640137,3.3787245750427246,1.8686257600784302,0.5,0.5,155.89300537109375,-6.959521294272456,3.378724460110104,1.8686258149256,155.89
19,-6.9629926681518555,3.3898696899414062,1.8745347261428833,0.5,0.5,155.91000366210938,-6.962992439734163,3.3898698062201658,1.874534694097822,155.91
20,-6.970862865447998,3.4112322330474854,1.886967420578003,0.5,0.5,155.95399475097656,-6.970862762190627,3.41123219066752,1.8869674730203767,155.953
21,-6.970862865447998,3.4112322330474854,1.886967420578003,0.5,0.5,155.95399475097656,-6.970862762190627,3.41123219066752,1.8869674730203767,155.953
22,-6.978539943695068,3.433281183242798,1.899874210357666,0.5,0.5,155.99400329589844,-6.978540123638397,3.433281267876187,1.8998741857959922,155.994
23,-6.9862871170043945,3.4547977447509766,1.9108079671859741,0.5,0.5,156.03900146484375,-6.988409840772917,3.459901558658465,1.9131777593949097,156.042
24,-6.9862871170043945,3.4547977447509766,1.9108079671859741,0.5,0.5,156.03900146484375,-7.001105726596289,3.4917055681930473,1.9287503909225452,156.099
25,-6.995056629180908,3.475376605987549,1.9214177131652832,0.5,0.5,156.07899475097656,-7.001105726596289,3.4917055681930473,1.9287503909225452,156.099
26,-7.005159854888916,3.5024402141571045,1.9336862564086914,0.5,0.5,156.1230010986328,-7.001105726596289,3.4917055681930473,1.9287503909225452,156.099
27,-7.014186382293701,3.5234215259552,1.94637131690979,0.5,0.5,156.16000366210938,-7.0073268217668,3.5076799232804237,1.9364676118135469,156.137
28,-7.016447067260742,3.5288023948669434,1.949574589729309,0.5,0.5,156.1699981689453,-7.018688441615269,3.53425260823005,1.9524023513148285,156.181
29,-7.025002956390381,3.550013780593872,1.9597104787826538,0.5,0.5,156.21499633789062,-7.027259369058642,3.5550794824496887,1.9618685460152345,156.226
30,-7.025002956390381,3.550013780593872,1.9597104787826538,0.5,0.5,156.21499633789062,-7.032084132415777,3.565075609890003,1.9660838517694796,156.24
31,-7.034573554992676,3.5701045989990234,1.9686558246612549,0.5,0.5,156.25399780273438,-7.041483050042794,3.5859565451993127,1.9768249756498237,156.285
32,-7.045802593231201,3.5967588424682617,1.982003092765808,0.5,0.5,156.302001953125,-7.041483050042794,3.5859565451993127,1.9768249756498237,156.285
33,-7.045802593231201,3.5967588424682617,1.982003092765808,0.5,0.5,156.302001953125,-7.050523192804496,3.6071846782705457,1.9877538415690694,156.328
34,-7.060783863067627,3.627652883529663,2.0004730224609375,0.5,0.5,156.35899353027344,-7.063189092894656,3.6329145816961694,2.0033694953890655,156.371
35,-7.070127010345459,3.6480748653411865,2.0104165077209473,0.5,0.5,156.40499877929688,-7.063189092894656,3.6329145816961694,2.0033694953890655,156.371
