x_position_input,y_position_input,yaw_input,input_time,vel_x_input,vel_y_input,vel_w_input,x_ref,y_ref,yaw_ref,con_x_input,con_z_input,con_time,x_position_output,y_position_output,yaw_output,output_time,vel_x_output,vel_y_output,vel_w_output
0.211354,0.028113,0.0920849,404.101,0.505286,0.0546934,0.0224334,0.218365,0.00340676,0.0312,0.451678,0.00193603,404.111,0.226635,0.0297374,0.0915279,404.136,0.503142,0.0523257,-0.0308137,
0.231657,0.0302447,0.0913705,404.136,0.501757,0.0490979,-0.000984944,0.218365,0.00340676,0.0312,0.432286,0.00216241,404.144,0.236676,0.0307166,0.0914636,404.154,0.502343,0.0453146,0.0168814,
0.236676,0.0307166,0.0914636,404.154,0.502343,0.0453146,0.0168814,0.218365,0.00340676,0.0312,0.427493,0.0021329,404.159,0.246718,0.0314953,0.0919817,404.169,0.502082,0.0350999,0.0212807,
0.246718,0.0314953,0.0919817,404.169,0.502082,0.0350999,0.0212807,0.218365,0.00340676,0.0312,0.417903,0.00196874,404.172,0.251744,0.0318634,0.0921365,404.182,0.502905,0.0388939,0.0104952,
0.251744,0.0318634,0.0921365,404.182,0.502905,0.0388939,0.0104952,0.218365,0.00340676,0.0312,0.413103,0.00191968,404.191,0.261644,0.0328055,0.0925036,404.201,0.475673,0.0505331,0.0639435,
0.261644,0.0328055,0.0925036,404.201,0.475673,0.0505331,0.0639435,0.218365,0.00340676,0.0312,0.403647,0.00180334,404.211,0.271045,0.0338186,0.0933378,404.221,0.465466,0.0504266,0.0281992,
0.271045,0.0338186,0.0933378,404.221,0.465466,0.0504266,0.0281992,0.218365,0.00340676,0.0312,0.394668,0.001539,404.238,0.284927,0.0353582,0.0938509,404.251,0.465517,0.0527675,0.00972341,
0.284927,0.0353582,0.0938509,404.251,0.465517,0.0527675,0.00972341,0.32748,0.00766444,0.0468,0.474482,0.00582752,404.253,0.289607,0.0358793,0.0939474,404.263,0.470351,0.0513453,0.00960937,
0.289607,0.0358793,0.0939474,404.263,0.470351,0.0513453,0.00960937,0.32748,0.00766444,0.0468,0.470013,0.00579693,404.27,0.298787,0.0368336,0.093016,404.28,0.455225,0.0455181,-0.0562423,
0.298787,0.0368336,0.093016,404.28,0.455225,0.0455181,-0.0562423,0.32748,0.00766444,0.0468,0.461247,0.00609209,404.29,0.308037,0.0376864,0.0924247,404.3,0.468951,0.0402047,-0.00451846,
0.308037,0.0376864,0.0924247,404.3,0.468951,0.0402047,-0.00451846,0.32748,0.00766444,0.0468,0.452415,0.00627946,404.316,0.317591,0.0384394,0.0926543,404.326,0.490524,0.0362445,0.0200113,
0.317591,0.0384394,0.0926543,404.326,0.490524,0.0362445,0.0200113,0.32748,0.00766444,0.0468,0.443293,0.0062067,404.331,0.32767,0.0392358,0.0929273,404.341,0.514314,0.0468158,0.00314565,
0.32767,0.0392358,0.0929273,404.341,0.514314,0.0468158,0.00314565,0.32748,0.00766444,0.0468,0.433671,0.00612017,404.35,0.3376,0.0402242,0.0938421,404.361,0.490012,0.0502012,0.032978,
0.3376,0.0402242,0.0938421,404.361,0.490012,0.0502012,0.032978,0.32748,0.00766444,0.0468,0.424189,0.00583031,404.372,0.347326,0.041242,0.0942361,404.382,0.484106,0.0517003,0.011512,
0.347326,0.041242,0.0942361,404.382,0.484106,0.0517003,0.011512,0.32748,0.00766444,0.0468,0.414901,0.00570545,404.39,0.357024,0.0423157,0.0943623,404.401,0.487864,0.055435,0.00313821,
0.357024,0.0423157,0.0943623,404.401,0.487864,0.055435,0.00313821,0.32748,0.00766444,0.0468,0.40564,0.00566547,404.412,0.366599,0.0433804,0.0936506,404.422,0.467523,0.0514357,-0.0530112,
0.366599,0.0433804,0.0936506,404.422,0.467523,0.0514357,-0.0530112,0.32748,0.00766444,0.0468,0.396496,0.00589097,404.431,0.375833,0.044348,0.0934613,404.442,0.4584,0.0455594,0.0184746,
0.375833,0.044348,0.0934613,404.442,0.4584,0.0455594,0.0184746,0.32748,0.00766444,0.0468,0.387678,0.00595097,404.451,0.384951,0.0451712,0.094111,404.462,0.45511,0.0354655,0.0367344,
0.384951,0.0451712,0.094111,404.462,0.45511,0.0354655,0.0367344,0.436517,0.0136237,0.0624,0.471762,0.0101962,404.471,0.394092,0.0458884,0.0945874,404.481,0.459224,0.0409327,0.00461664,
0.394092,0.0458884,0.0945874,404.481,0.459224,0.0409327,0.00461664,0.436517,0.0136237,0.0624,0.46304,0.0100452,404.492,0.40345,0.0468694,0.0945542,404.502,0.46976,0.0540477,0.0361036,
0.40345,0.0468694,0.0945542,404.502,0.46976,0.0540477,0.0361036,0.436517,0.0136237,0.0624,0.454107,0.0100558,404.51,0.412896,0.0479106,0.095575,404.521,0.475796,0.0514752,0.0497393,
0.412896,0.0479106,0.095575,404.521,0.475796,0.0514752,0.0497393,0.436517,0.0136237,0.0624,0.44509,0.00973226,404.532,0.427372,0.0495032,0.0968557,404.547,0.493286,0.0565953,0.0289927,
