,x_position_input,y_position_input,yaw_input,vel_x_input,vel_y_input,vel_w_input,con_x_input,con_z_input,con_time,state_in_time
0,-0.10123379928807198,-8.672665438929354e-05,0.0007147018520372239,-0.009891966100409563,3.818063675483319e-05,0.0008354785061280278,0.6000000000000001,0.2,10.214,10.151
1,-0.10311804074439432,-0.00010576875475195915,0.0006999986716893883,-0.009616973419904569,2.0075011435576885e-06,-0.00012022052335021866,0.6000000000000001,0.2,10.414,10.35
2,-0.10482421488131198,-9.93550758551988e-05,0.0007143160317862986,-0.009329600190566875,-0.0001562718815351732,-0.0009983304253368332,0.6000000000000001,0.2,10.615,10.534
3,-0.08689397522678834,0.000543302599104116,0.01371263412114968,0.33581600201668904,0.010920714489098739,0.10657658528254292,0.6000000000000001,0.2,10.815,10.76
4,0.026129363985014756,0.005126101958986789,0.03308306646592462,0.6644127775296191,0.020956249355814437,0.18134172509688332,0.6000000000000001,0.2,11.014,10.96
5,0.15537334510898224,0.012716666128385101,0.05729297819431586,0.6998207550772289,0.041295144872296255,0.11263465176600775,0.6000000000000001,0.2,11.214,11.15
6,0.299447939536588,0.023423730984981364,0.07699921868293154,0.696839677180168,0.04960903978260748,0.12256912885108769,0.6000000000000001,0.2,11.415,11.366
7,0.4360216571382064,0.036567799642722755,0.09979369929648549,0.6756224524964843,0.06544940180352282,0.15211154632643584,0.6000000000000001,0.2,11.615,11.56
8,0.558616810820499,0.05123316750609886,0.11835394322220319,0.6935064583926226,0.07600384044875123,0.12154703678339435,0.6000000000000001,0.2,11.814,11.742
9,0.7018239428918482,0.07081094624116524,0.1393248955788895,0.6937941429591337,0.0942986216190148,0.10112320602509745,0.8,0.2,12.015,11.95
10,0.8414749028584153,0.09365552754177059,0.1613545705810012,0.8530096763736367,0.15139504472286186,0.11114645567882586,0.8,0.2,12.214,12.138
11,1.0099864193147186,0.12284564145708363,0.17418021529383237,0.8714358032254959,0.1577228825432148,0.019457155494811147,0.8,0.2,12.414,12.33
12,1.2053005850690626,0.16093600188624851,0.19432530922656732,0.8830984960048731,0.18777823955868164,0.12642351712577818,0.8,0.2,12.614,12.56
13,1.3723025269557634,0.19696641254608238,0.21133962085360122,0.8687590086649633,0.18018657517176032,0.03454093374559395,0.8,0.2,12.813,12.749
14,1.5448171739840848,0.23562151001096465,0.22415509159818547,0.8600312538784125,0.2134793296375124,0.08032199994243513,0.8,0.2,13.014,12.941
15,1.7091215798457953,0.2774546270198805,0.24297679425095633,0.8672961789740165,0.24504333189201974,0.01712520476921014,0.8,0.2,13.214,13.13
16,1.911185983432133,0.3304598874610352,0.2608033843738969,0.8665514266122927,0.23773382507323207,0.033837114481769674,0.8,0.2,13.414,13.36
17,2.0766805555780348,0.37532924721654976,0.26997437222016957,0.9168425053945383,0.23697366039396137,0.060618952852399814,0.8,0.2,13.614,13.55
18,2.244486456105042,0.4236312535994957,0.2813496537085648,0.8590780745404533,0.2632466344131923,0.05475178868981129,0.8,0.2,13.815,13.74
19,2.4319017941349372,0.48126348461221297,0.2982917365534522,0.8416867200206651,0.2633865393360096,0.032439417608366244,0.8,0.2,14.015,13.961
20,2.5936933213935074,0.5337177391501957,0.31456462342631114,0.8676349151792492,0.29764141242485964,0.08290339092334292,0.8,0.2,14.214,14.152
21,2.7571876507468054,0.5907093127558337,0.3348150813084936,0.8492433265617308,0.3206201075113074,0.12925023604812633,0.8,0.2,14.414,14.341
22,2.928003074466931,0.6528774951836013,0.3556314443560061,0.8292614662877086,0.2902023502909067,0.023831963854487225,0.8,0.2,14.614,14.54
23,3.0894330065710216,0.714078001189137,0.37005830429276243,0.862857709657031,0.34013428821985714,0.11826401997946032,0.8,0.2,14.815,14.731
24,3.2840635494129407,0.7942300360398045,0.3930982654232924,0.8432855962098705,0.3384811149907482,0.15526205556313646,0.8,0.2,15.015,14.963
25,3.4413700585293587,0.8604161256537063,0.4062354877065426,0.806539967850007,0.34522060990119097,0.09070524758377589,0.8,0.2,15.214,15.154
26,3.587196229919646,0.9263619152832542,0.4209081169496124,0.8076860659466292,0.3578979359243184,0.12869422377101053,0.8,0.2,15.414,15.338
27,3.7409767356494874,0.9967293417596748,0.436051358670682,0.8066356030129441,0.3785255301676085,0.10702644393880353,0.8,0.2,15.614,15.526
28,3.922939796018219,1.0870703204931227,0.45566623368840586,0.7882315993844587,0.4095225937135183,0.04260116357180926,0.8,0.2,15.815,15.755
29,4.080323515162982,1.1646215138142832,0.4663643557876956,0.8320745759031611,0.4138961975622972,0.12646590493164897,0.8,0.2,16.015,15.942
30,4.230539505168687,1.2440930639491314,0.4824809554558949,0.7738144519034797,0.43107728252793265,0.0316305003452056,0.8,0.2,16.214,16.13
31,4.395468629022948,1.333373768656729,0.4984057751051445,0.7751989748328258,0.4221032519266972,0.10952036039059354,0.8,0.2,16.415,16.341
32,4.542339840360389,1.4173338205039654,0.5153438312833389,0.7935108006603272,0.4269629757083902,0.10839147678240497,0.8,0.2,16.615,16.538
33,4.692557685883937,1.502997509984399,0.5249240549644669,0.7732030443949329,0.44468809447249225,0.005945360036038198,0.8,0.2,16.845,16.726
34,4.870184012709975,1.6068782935452879,0.5353844650701127,0.780075927928998,0.4734361018932067,0.04490567907762065,0.8,0.2,17.014,16.959
35,5.01803411895203,1.6976749261622353,0.551994153027841,0.7918763080209844,0.4777500207743615,0.1341239446911505,0.8,0.2,17.214,17.145
36,5.18225756638809,1.804052809362709,0.57035993356596,0.7527433946349795,0.4893980388348093,0.13136618502369962,0.8,0.2,17.414,17.361
